geolocation_name,quarter_label,country,year,deflated_gdp_usd,us_cpi,landlocked,region_economic_classification,access_to_airport,access_to_port,access_to_highway,access_to_railway,straight_distance_to_capital_km,seismic_hazard_zone,flood_risk_class,tropical_cyclone_wind_risk,tornadoes_wind_risk,koppen_climate_zone,sentinel2_tiff_file_name,viirs_tiff_file_name,construction_cost_per_m2_usd
0,3,0,2019,299682074191.28937,117.6899153350103,0,1,0,1,1,0,770.0,2,1,3,0,0,sentinel_2_dinagat_islands_2019-Q3.tif,viirs_dinagat_islands_2019-Q3.tif,129.9974201590657
1,2,1,2024,3928801383782.808,143.9682405014625,1,3,0,0,1,1,370.0,2,1,1,0,3,sentinel_2_29000_nara_2024-Q2.tif,viirs_29000_nara_2024-Q2.tif,1567.8787743705016
2,1,1,2020,4069008481605.98,118.4352913210933,0,3,1,1,1,1,450.0,2,1,1,0,5,sentinel_2_05000_akita_2020-Q1.tif,viirs_05000_akita_2020-Q1.tif,2009.8277005928624
3,4,0,2020,291244296180.30774,119.4024762808857,1,1,1,0,1,0,870.0,3,1,2,0,0,sentinel_2_cotabato_2020-Q4.tif,viirs_cotabato_2020-Q4.tif,377.2799614242616
4,3,0,2019,299682074191.28937,117.6899153350103,1,1,1,0,1,1,65.0,2,1,2,0,1,sentinel_2_pampanga_2019-Q3.tif,viirs_pampanga_2019-Q3.tif,163.9056883019777
5,1,0,2019,299682074191.28937,115.9781187205398,0,1,1,1,1,0,410.0,2,1,3,0,1,sentinel_2_antique_2019-Q1.tif,viirs_antique_2019-Q1.tif,236.31560437665115
6,2,1,2021,4247588558872.2593,123.5075473904579,0,3,1,1,1,1,270.0,2,1,2,1,3,sentinel_2_17000_ishikawa_2021-Q2.tif,viirs_17000_ishikawa_2021-Q2.tif,1760.3717290721825
7,3,1,2021,4247588558872.2593,125.4848727349994,0,3,1,1,1,1,150.0,3,1,2,1,3,sentinel_2_22000_shizuoka_2021-Q3.tif,viirs_22000_shizuoka_2021-Q3.tif,1998.1514282463447
8,2,1,2020,4069008481605.98,117.7956988014519,1,3,0,0,1,1,270.0,2,1,1,1,3,sentinel_2_21000_gifu_2020-Q2.tif,viirs_21000_gifu_2020-Q2.tif,2038.472106772219
9,1,0,2019,299682074191.28937,115.9781187205398,0,1,1,1,1,0,370.0,2,1,4,0,0,sentinel_2_catanduanes_2019-Q1.tif,viirs_catanduanes_2019-Q1.tif,173.96785449998526
