geolocation_name,quarter_label,year,deflated_gdp_usd,us_cpi,landlocked,access_to_airport,access_to_port,access_to_railway,straight_distance_to_capital_km,seismic_hazard_zone,flood_risk_class,tropical_cyclone_wind_risk,tornadoes_wind_risk,koppen_climate_zone,sentinel2_tiff_file_name,viirs_tiff_file_name,construction_cost_per_m2_usd
1,2,2024,3928801383782.808,143.9682405014625,1,0,0,1,370.0,2,1,1,0,3,sentinel_2_29000_nara_2024-Q2.tif,viirs_29000_nara_2024-Q2.tif,1567.8787743705016
2,1,2020,4069008481605.98,118.4352913210933,0,1,1,1,450.0,2,1,1,0,5,sentinel_2_05000_akita_2020-Q1.tif,viirs_05000_akita_2020-Q1.tif,2009.8277005928624
6,2,2021,4247588558872.2593,123.5075473904579,0,1,1,1,270.0,2,1,2,1,3,sentinel_2_17000_ishikawa_2021-Q2.tif,viirs_17000_ishikawa_2021-Q2.tif,1760.3717290721825
7,3,2021,4247588558872.2593,125.4848727349994,0,1,1,1,150.0,3,1,2,1,3,sentinel_2_22000_shizuoka_2021-Q3.tif,viirs_22000_shizuoka_2021-Q3.tif,1998.1514282463447
8,2,2020,4069008481605.98,117.7956988014519,1,0,0,1,270.0,2,1,1,1,3,sentinel_2_21000_gifu_2020-Q2.tif,viirs_21000_gifu_2020-Q2.tif,2038.472106772219
10,2,2024,3928801383782.808,143.9682405014625,0,1,1,1,900.0,3,1,2,1,3,sentinel_2_43000_kumamoto_2024-Q2.tif,viirs_43000_kumamoto_2024-Q2.tif,1985.2283517854448
11,3,2019,4070264756531.522,117.6899153350103,0,1,1,1,870.0,2,1,3,1,3,sentinel_2_45000_miyazaki_2019-Q3.tif,viirs_45000_miyazaki_2019-Q3.tif,1507.5773424575727
12,2,2021,4247588558872.2593,123.5075473904579,0,1,1,1,970.0,3,1,3,1,3,sentinel_2_46000_kagoshima_2021-Q2.tif,viirs_46000_kagoshima_2021-Q2.tif,1691.0583400832106
14,3,2024,3928801383782.808,144.403145070865,0,1,1,1,450.0,3,1,1,1,5,sentinel_2_03000_iwate_2024-Q3.tif,viirs_03000_iwate_2024-Q3.tif,1706.6163973371624
15,1,2024,3928801383782.808,142.3299725681459,0,1,1,1,1200.0,2,1,2,1,3,sentinel_2_42000_nagasaki_2024-Q1.tif,viirs_42000_nagasaki_2024-Q1.tif,1530.8526948457186
16,2,2019,4070264756531.522,117.3681318135368,0,1,1,1,260.0,2,1,2,1,3,sentinel_2_16000_toyama_2019-Q2.tif,viirs_16000_toyama_2019-Q2.tif,1618.5349375743162
17,3,2021,4247588558872.2593,125.4848727349994,0,1,1,1,625.0,3,1,3,1,3,sentinel_2_39000_kochi_2021-Q3.tif,viirs_39000_kochi_2021-Q3.tif,1825.0917143442623
17,2,2021,4247588558872.2593,123.5075473904579,0,1,1,1,625.0,3,1,3,1,3,sentinel_2_39000_kochi_2021-Q2.tif,viirs_39000_kochi_2021-Q2.tif,1958.5022084914683
