geolocation_name,quarter_label,year,deflated_gdp_usd,us_cpi,landlocked,region_economic_classification,access_to_airport,access_to_port,access_to_highway,access_to_railway,straight_distance_to_capital_km,seismic_hazard_zone,flood_risk_class,tropical_cyclone_wind_risk,tornadoes_wind_risk,koppen_climate_zone,sentinel2_tiff_file_name,viirs_tiff_file_name,construction_cost_per_m2_usd
0,3,2019,299682074191.28937,117.6899153350103,0,1,0,1,1,0,770.0,2,1,3,0,0,sentinel_2_dinagat_islands_2019-Q3.tif,viirs_dinagat_islands_2019-Q3.tif,129.9974201590657
3,4,2020,291244296180.30774,119.4024762808857,1,1,1,0,1,0,870.0,3,1,2,0,0,sentinel_2_cotabato_2020-Q4.tif,viirs_cotabato_2020-Q4.tif,377.2799614242616
4,3,2019,299682074191.28937,117.6899153350103,1,1,1,0,1,1,65.0,2,1,2,0,1,sentinel_2_pampanga_2019-Q3.tif,viirs_pampanga_2019-Q3.tif,163.9056883019777
5,1,2019,299682074191.28937,115.9781187205398,0,1,1,1,1,0,410.0,2,1,3,0,1,sentinel_2_antique_2019-Q1.tif,viirs_antique_2019-Q1.tif,236.31560437665115
9,1,2019,299682074191.28937,115.9781187205398,0,1,1,1,1,0,370.0,2,1,4,0,0,sentinel_2_catanduanes_2019-Q1.tif,viirs_catanduanes_2019-Q1.tif,173.96785449998526
13,1,2019,299682074191.28937,115.9781187205398,0,1,1,1,1,0,570.0,2,1,3,0,0,sentinel_2_leyte_2019-Q1.tif,viirs_leyte_2019-Q1.tif,141.77724064398484
18,1,2021,332183318448.6994,120.6838014481023,0,1,1,1,1,0,350.0,2,1,3,0,1,sentinel_2_aklan_2021-Q1.tif,viirs_aklan_2021-Q1.tif,295.94368015463374
19,1,2020,291244296180.30774,118.4352913210933,0,1,1,1,1,0,970.0,3,1,2,0,0,sentinel_2_davao_del_sur_2020-Q1.tif,viirs_davao_del_sur_2020-Q1.tif,230.4855693132282
20,2,2021,332183318448.6994,123.5075473904579,0,1,0,0,1,1,30.0,2,1,3,0,1,sentinel_2_bulacan_2021-Q2.tif,viirs_bulacan_2021-Q2.tif,209.96006809930336
0,2,2021,332183318448.6994,123.5075473904579,0,1,0,1,0,0,770.0,2,1,3,0,0,sentinel_2_dinagat_islands_2021-Q2.tif,viirs_dinagat_islands_2021-Q2.tif,159.357989488004
23,4,2020,291244296180.30774,119.4024762808857,0,1,1,1,1,0,500.0,2,1,3,0,0,sentinel_2_samar_2020-Q4.tif,viirs_samar_2020-Q4.tif,457.2029544438361
24,1,2019,299682074191.28937,115.9781187205398,0,1,1,1,1,0,470.0,2,1,3,0,0,sentinel_2_northern_samar_2019-Q1.tif,viirs_northern_samar_2019-Q1.tif,290.45753931795343
25,1,2020,291244296180.30774,118.4352913210933,1,1,0,0,1,0,265.0,2,1,2,0,1,sentinel_2_quirino_2020-Q1.tif,viirs_quirino_2020-Q1.tif,237.01969209401705
28,1,2019,299682074191.28937,115.9781187205398,1,1,1,0,1,0,285.0,2,1,3,0,1,sentinel_2_isabela_2019-Q1.tif,viirs_isabela_2019-Q1.tif,164.89512456913235
29,3,2019,299682074191.28937,117.6899153350103,0,1,0,1,1,0,790.0,2,1,2,0,0,sentinel_2_lanao_del_norte_2019-Q3.tif,viirs_lanao_del_norte_2019-Q3.tif,140.20714554759803
30,3,2020,291244296180.30774,119.1285399053605,0,1,1,1,1,0,150.0,2,1,2,0,1,sentinel_2_occidental_mindoro_2020-Q3.tif,viirs_occidental_mindoro_2020-Q3.tif,143.21617229137587
3,1,2019,299682074191.28937,115.9781187205398,1,1,1,0,1,0,870.0,3,1,2,0,0,sentinel_2_cotabato_2019-Q1.tif,viirs_cotabato_2019-Q1.tif,111.27126722727216
32,1,2019,299682074191.28937,115.9781187205398,0,1,1,1,1,0,400.0,2,1,3,0,1,sentinel_2_capiz_2019-Q1.tif,viirs_capiz_2019-Q1.tif,227.8876850346824
