data_id,geolocation_name,quarter_label,country,year,deflated_gdp_usd,us_cpi,developed_country,landlocked,region_economic_classification,access_to_airport,access_to_port,access_to_highway,access_to_railway,straight_distance_to_capital_km,seismic_hazard_zone,flood_risk_class,tropical_cyclone_wind_risk,tornadoes_wind_risk,koppen_climate_zone,sentinel2_tiff_file_name,viirs_tiff_file_name,construction_cost_per_m2_usd
E7EOB,29000 Nara,2024-Q2,Japan,2024,3928801383782.808,143.9682405014625,Yes,Yes,High income,No,No,Yes,Yes,370.0,Moderate,Yes,Low,Very Low,Cfa,sentinel_2_29000_nara_2024-Q2.tif,viirs_29000_nara_2024-Q2.tif,1567.8787743705016
WAOUA,05000 Akita,2020-Q1,Japan,2020,4069008481605.98,118.4352913210933,Yes,No,High income,Yes,Yes,Yes,Yes,450.0,Moderate,Yes,Low,Very Low,Dfa,sentinel_2_05000_akita_2020-Q1.tif,viirs_05000_akita_2020-Q1.tif,2009.8277005928624
TT3IM,17000 Ishikawa,2021-Q2,Japan,2021,4247588558872.2593,123.5075473904579,Yes,No,High income,Yes,Yes,Yes,Yes,270.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_17000_ishikawa_2021-Q2.tif,viirs_17000_ishikawa_2021-Q2.tif,1760.3717290721825
39PEC,22000 Shizuoka,2021-Q3,Japan,2021,4247588558872.2593,125.4848727349994,Yes,No,High income,Yes,Yes,Yes,Yes,150.0,High,Yes,Moderate,Low,Cfa,sentinel_2_22000_shizuoka_2021-Q3.tif,viirs_22000_shizuoka_2021-Q3.tif,1998.1514282463447
MAE38,21000 Gifu,2020-Q2,Japan,2020,4069008481605.98,117.7956988014519,Yes,Yes,High income,No,No,Yes,Yes,270.0,Moderate,Yes,Low,Low,Cfa,sentinel_2_21000_gifu_2020-Q2.tif,viirs_21000_gifu_2020-Q2.tif,2038.472106772219
V4ZWL,43000 Kumamoto,2024-Q2,Japan,2024,3928801383782.808,143.9682405014625,Yes,No,High income,Yes,Yes,Yes,Yes,900.0,High,Yes,Moderate,Low,Cfa,sentinel_2_43000_kumamoto_2024-Q2.tif,viirs_43000_kumamoto_2024-Q2.tif,1985.2283517854448
TQMGV,45000 Miyazaki,2019-Q3,Japan,2019,4070264756531.522,117.6899153350103,Yes,No,High income,Yes,Yes,Yes,Yes,870.0,Moderate,Yes,High,Low,Cfa,sentinel_2_45000_miyazaki_2019-Q3.tif,viirs_45000_miyazaki_2019-Q3.tif,1507.5773424575727
86ZJQ,46000 Kagoshima,2021-Q2,Japan,2021,4247588558872.2593,123.5075473904579,Yes,No,High income,Yes,Yes,Yes,Yes,970.0,High,Yes,High,Low,Cfa,sentinel_2_46000_kagoshima_2021-Q2.tif,viirs_46000_kagoshima_2021-Q2.tif,1691.0583400832106
9T7E8,03000 Iwate,2024-Q3,Japan,2024,3928801383782.808,144.403145070865,Yes,No,High income,Yes,Yes,Yes,Yes,450.0,High,Yes,Low,Low,Dfa,sentinel_2_03000_iwate_2024-Q3.tif,viirs_03000_iwate_2024-Q3.tif,1706.6163973371624
AHK2L,42000 Nagasaki,2024-Q1,Japan,2024,3928801383782.808,142.3299725681459,Yes,No,High income,Yes,Yes,Yes,Yes,1200.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_42000_nagasaki_2024-Q1.tif,viirs_42000_nagasaki_2024-Q1.tif,1530.8526948457186
D1AT7,16000 Toyama,2019-Q2,Japan,2019,4070264756531.522,117.3681318135368,Yes,No,High income,Yes,Yes,Yes,Yes,260.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_16000_toyama_2019-Q2.tif,viirs_16000_toyama_2019-Q2.tif,1618.5349375743162
MENUI,39000 Kochi,2021-Q3,Japan,2021,4247588558872.2593,125.4848727349994,Yes,No,High income,Yes,Yes,Yes,Yes,625.0,High,Yes,High,Low,Cfa,sentinel_2_39000_kochi_2021-Q3.tif,viirs_39000_kochi_2021-Q3.tif,1825.0917143442623
TU7FB,39000 Kochi,2021-Q2,Japan,2021,4247588558872.2593,123.5075473904579,Yes,No,High income,Yes,Yes,Yes,Yes,625.0,High,Yes,High,Low,Cfa,sentinel_2_39000_kochi_2021-Q2.tif,viirs_39000_kochi_2021-Q2.tif,1958.5022084914683
AO1CJ,36000 Tokushima,2024-Q3,Japan,2024,3928801383782.808,144.403145070865,Yes,No,High income,Yes,Yes,Yes,Yes,500.0,High,Yes,Moderate,Low,Cfa,sentinel_2_36000_tokushima_2024-Q3.tif,viirs_36000_tokushima_2024-Q3.tif,1523.5489879188451
N89LT,31000 Tottori,2021-Q3,Japan,2021,4247588558872.2593,125.4848727349994,Yes,No,High income,Yes,Yes,Yes,Yes,500.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_31000_tottori_2021-Q3.tif,viirs_31000_tottori_2021-Q3.tif,1894.530285958593
ZHWJR,03000 Iwate,2021-Q1,Japan,2021,4247588558872.2593,120.6838014481023,Yes,No,High income,Yes,Yes,Yes,Yes,450.0,High,Yes,Low,Low,Dfa,sentinel_2_03000_iwate_2021-Q1.tif,viirs_03000_iwate_2021-Q1.tif,1921.0423046521275
HB0OQ,39000 Kochi,2023-Q3,Japan,2023,3993446887350.673,140.714328844415,Yes,No,High income,Yes,Yes,Yes,Yes,625.0,High,Yes,High,Low,Cfa,sentinel_2_39000_kochi_2023-Q3.tif,viirs_39000_kochi_2023-Q3.tif,1709.715510686194
BOVAK,10000 Gunma,2023-Q2,Japan,2023,3993446887350.673,139.5056151606663,Yes,Yes,High income,No,No,Yes,Yes,100.0,High,No,Low,Low,Cfa,sentinel_2_10000_gunma_2023-Q2.tif,viirs_10000_gunma_2023-Q2.tif,1459.5649435230368
TXCB4,18000 Fukui,2022-Q1,Japan,2022,3880440088794.578,130.2983261906564,Yes,No,High income,No,Yes,Yes,Yes,320.0,Moderate,Yes,Low,Very Low,Cfa,sentinel_2_18000_fukui_2022-Q1.tif,viirs_18000_fukui_2022-Q1.tif,1714.0184827186436
SRYO4,21000 Gifu,2020-Q3,Japan,2020,4069008481605.98,119.1285399053605,Yes,Yes,High income,No,No,Yes,Yes,270.0,Moderate,Yes,Low,Low,Cfa,sentinel_2_21000_gifu_2020-Q3.tif,viirs_21000_gifu_2020-Q3.tif,1967.020623488982
PSFNK,11000 Saitama,2022-Q3,Japan,2022,3880440088794.578,135.9371046973515,Yes,Yes,High income,Yes,No,Yes,Yes,22.5,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_11000_saitama_2022-Q3.tif,viirs_11000_saitama_2022-Q3.tif,1391.3593998260085
4X41D,18000 Fukui,2024-Q2,Japan,2024,3928801383782.808,143.9682405014625,Yes,No,High income,No,Yes,Yes,Yes,320.0,Moderate,Yes,Low,Low,Cfa,sentinel_2_18000_fukui_2024-Q2.tif,viirs_18000_fukui_2024-Q2.tif,1503.0610503651835
79QTK,32000 Shimane,2024-Q1,Japan,2024,3928801383782.808,142.3299725681459,Yes,No,High income,Yes,Yes,Yes,Yes,650.0,Moderate,Yes,Moderate,Low,Cfa,sentinel_2_32000_shimane_2024-Q1.tif,viirs_32000_shimane_2024-Q1.tif,2635.3867973524257
HT0HL,02000 Aomori,2020-Q2,Japan,2020,4069008481605.98,117.7956988014519,Yes,No,High income,Yes,Yes,Yes,Yes,575.0,Moderate,Yes,Low,Very Low,Dfa,sentinel_2_02000_aomori_2020-Q2.tif,viirs_02000_aomori_2020-Q2.tif,1839.9102721070085
61LFC,46000 Kagoshima,2021-Q4,Japan,2021,4247588558872.2593,127.389433729792,Yes,No,High income,Yes,Yes,Yes,Yes,970.0,High,Yes,High,Low,Cfa,sentinel_2_46000_kagoshima_2021-Q4.tif,viirs_46000_kagoshima_2021-Q4.tif,1740.9545318857506
M5RRV,33000 Okayama,2023-Q3,Japan,2023,3993446887350.673,140.714328844415,Yes,No,High income,Yes,Yes,Yes,Yes,540.0,Moderate,Yes,Low,Low,Cfa,sentinel_2_33000_okayama_2023-Q3.tif,viirs_33000_okayama_2023-Q3.tif,1796.7345619939686
8DT8C,46000 Kagoshima,2024-Q3,Japan,2024,3928801383782.808,144.403145070865,Yes,No,High income,Yes,Yes,Yes,Yes,970.0,High,Yes,High,Low,Cfa,sentinel_2_46000_kagoshima_2024-Q3.tif,viirs_46000_kagoshima_2024-Q3.tif,1741.3021307805875
