data_id,geolocation_name,quarter_label,country,year,deflated_gdp_usd,us_cpi,developed_country,landlocked,region_economic_classification,access_to_airport,access_to_port,access_to_highway,access_to_railway,straight_distance_to_capital_km,seismic_hazard_zone,flood_risk_class,tropical_cyclone_wind_risk,tornadoes_wind_risk,koppen_climate_zone,sentinel2_tiff_file_name,viirs_tiff_file_name,construction_cost_per_m2_usd
LP81L,Dinagat Islands,2019-Q3,Philippines,2019,299682074191.28937,117.6899153350103,No,No,Lower-middle income,No,Yes,Yes,No,770.0,Moderate,Yes,High,Very Low,Af,sentinel_2_dinagat_islands_2019-Q3.tif,viirs_dinagat_islands_2019-Q3.tif,129.9974201590657
2IZ5P,Cotabato,2020-Q4,Philippines,2020,291244296180.30774,119.4024762808857,No,Yes,Lower-middle income,Yes,No,Yes,No,870.0,High,Yes,Moderate,Very Low,Af,sentinel_2_cotabato_2020-Q4.tif,viirs_cotabato_2020-Q4.tif,377.2799614242616
RJ5XF,Pampanga,2019-Q3,Philippines,2019,299682074191.28937,117.6899153350103,No,Yes,Lower-middle income,Yes,No,Yes,Yes,65.0,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_pampanga_2019-Q3.tif,viirs_pampanga_2019-Q3.tif,163.9056883019777
KM95D,Antique,2019-Q1,Philippines,2019,299682074191.28937,115.9781187205398,No,No,Lower-middle income,Yes,Yes,Yes,No,410.0,Moderate,Yes,High,Very Low,Am,sentinel_2_antique_2019-Q1.tif,viirs_antique_2019-Q1.tif,236.31560437665115
O1I3M,Catanduanes,2019-Q1,Philippines,2019,299682074191.28937,115.9781187205398,No,No,Lower-middle income,Yes,Yes,Yes,No,370.0,Moderate,Yes,Very High,Very Low,Af,sentinel_2_catanduanes_2019-Q1.tif,viirs_catanduanes_2019-Q1.tif,173.96785449998526
VHOTQ,Leyte,2019-Q1,Philippines,2019,299682074191.28937,115.9781187205398,No,No,Lower-middle income,Yes,Yes,Yes,No,570.0,Moderate,Yes,High,Very Low,Af,sentinel_2_leyte_2019-Q1.tif,viirs_leyte_2019-Q1.tif,141.77724064398484
81BMQ,Aklan,2021-Q1,Philippines,2021,332183318448.6994,120.6838014481023,No,No,Lower-middle income,Yes,Yes,Yes,No,350.0,Moderate,Yes,High,Very Low,Am,sentinel_2_aklan_2021-Q1.tif,viirs_aklan_2021-Q1.tif,295.94368015463374
W1WUD,Davao del Sur,2020-Q1,Philippines,2020,291244296180.30774,118.4352913210933,No,No,Lower-middle income,Yes,Yes,Yes,No,970.0,High,Yes,Moderate,Very Low,Af,sentinel_2_davao_del_sur_2020-Q1.tif,viirs_davao_del_sur_2020-Q1.tif,230.4855693132282
JZP97,Bulacan,2021-Q2,Philippines,2021,332183318448.6994,123.5075473904579,No,No,Lower-middle income,No,No,Yes,Yes,30.0,Moderate,Yes,High,Very Low,Am,sentinel_2_bulacan_2021-Q2.tif,viirs_bulacan_2021-Q2.tif,209.96006809930336
2BHAI,Dinagat Islands,2021-Q2,Philippines,2021,332183318448.6994,123.5075473904579,No,No,Lower-middle income,No,Yes,No,No,770.0,Moderate,Yes,High,Very Low,Af,sentinel_2_dinagat_islands_2021-Q2.tif,viirs_dinagat_islands_2021-Q2.tif,159.357989488004
PEGLN,Samar,2020-Q4,Philippines,2020,291244296180.30774,119.4024762808857,No,No,Lower-middle income,Yes,Yes,Yes,No,500.0,Moderate,Yes,High,Very Low,Af,sentinel_2_samar_2020-Q4.tif,viirs_samar_2020-Q4.tif,457.2029544438361
Z52QZ,Northern Samar,2019-Q1,Philippines,2019,299682074191.28937,115.9781187205398,No,No,Lower-middle income,Yes,Yes,Yes,No,470.0,Moderate,Yes,High,Very Low,Af,sentinel_2_northern_samar_2019-Q1.tif,viirs_northern_samar_2019-Q1.tif,290.45753931795343
K5J42,Quirino,2020-Q1,Philippines,2020,291244296180.30774,118.4352913210933,No,Yes,Lower-middle income,No,No,Yes,No,265.0,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_quirino_2020-Q1.tif,viirs_quirino_2020-Q1.tif,237.01969209401705
V9DT9,Isabela,2019-Q1,Philippines,2019,299682074191.28937,115.9781187205398,No,Yes,Lower-middle income,Yes,No,Yes,No,285.0,Moderate,Yes,High,Very Low,Am,sentinel_2_isabela_2019-Q1.tif,viirs_isabela_2019-Q1.tif,164.89512456913235
DQZ05,Lanao del Norte,2019-Q3,Philippines,2019,299682074191.28937,117.6899153350103,No,No,Lower-middle income,No,Yes,Yes,No,790.0,Moderate,Yes,Moderate,Very Low,Af,sentinel_2_lanao_del_norte_2019-Q3.tif,viirs_lanao_del_norte_2019-Q3.tif,140.20714554759803
486I3,Occidental Mindoro,2020-Q3,Philippines,2020,291244296180.30774,119.1285399053605,No,No,Lower-middle income,Yes,Yes,Yes,No,150.0,Moderate,Yes,Moderate,Very Low,Am,sentinel_2_occidental_mindoro_2020-Q3.tif,viirs_occidental_mindoro_2020-Q3.tif,143.21617229137587
QQQ5L,Cotabato,2019-Q1,Philippines,2019,299682074191.28937,115.9781187205398,No,Yes,Lower-middle income,Yes,No,Yes,No,870.0,High,Yes,Moderate,Very Low,Af,sentinel_2_cotabato_2019-Q1.tif,viirs_cotabato_2019-Q1.tif,111.27126722727216
0YEHV,Capiz,2019-Q1,Philippines,2019,299682074191.28937,115.9781187205398,No,No,Lower-middle income,Yes,Yes,Yes,No,400.0,Moderate,Yes,High,Very Low,Am,sentinel_2_capiz_2019-Q1.tif,viirs_capiz_2019-Q1.tif,227.8876850346824
RGYBX,Abra,2019-Q1,Philippines,2019,299682074191.28937,115.9781187205398,No,Yes,Lower-middle income,No,No,Yes,No,330.0,High,Yes,Moderate,Very Low,Am,sentinel_2_abra_2019-Q1.tif,viirs_abra_2019-Q1.tif,178.06872669595893
